Sort Key,Station,Source,Type,Ba137,Ba138,Ca43,Mg24,Mg25,Mg26,Sr86,Sr87,Sr88
39,GJHFR-127A,GJH,FR,0.001637663,0.010318554,0.666191673,2.203966029,0.283545014,0.320213881,0.173589069,0.125287438,1.501379356
40,GJHFR-127A,GJH,FR,0.001554114,0.010255066,0.645342266,2.10342806,0.27387469,0.310571657,0.170035593,0.119317234,1.451800684
41,GJHFR-127A,GJH,FR,0.001627126,0.010243537,0.66552499,2.218709368,0.287703108,0.320863683,0.184387649,0.127794931,1.505977875
42,GJHFR-127A,GJH,FR,0.00168923,0.010146102,0.706918018,2.228303284,0.296398763,0.337641776,0.19202288,0.133271974,1.517906069
43,GJHFR-127A,GJH,FR,0.001570324,0.009853709,0.663204951,2.227719657,0.285533872,0.31746031,0.174578501,0.126747008,1.476579539
44,GJHFR-127A,GJH,FR,0.001608505,0.010354535,0.680206622,2.236594519,0.286844605,0.319970426,0.177312542,0.130205214,1.515382197
45,GJHFR-127A,GJH,FR,0.001501708,0.009507136,0.631076983,2.048929389,0.26332776,0.304738249,0.164618276,0.122817921,1.388800242
46,GJHFR-127A,GJH,FR,0.001564741,0.010459206,0.659458525,2.163272982,0.278568038,0.308044191,0.166922138,0.120369915,1.438976852
47,GJHFR-127A,GJH,FR,0.001661123,0.010648335,0.65808031,2.09550402,0.27055399,0.309122797,0.16380926,0.119729357,1.390566546
48,GJHFR-127A,GJH,FR,0.00173542,0.011490942,0.661338658,2.064828067,0.26806136,0.309642121,0.163341218,0.118372162,1.397586037
49,GJHFR-130A,GJH,FR,0.00140908,0.008184873,0.654888689,2.214311984,0.293420077,0.33599137,0.165388037,0.119717835,1.391102037
50,GJHFR-130A,GJH,FR,0.001291258,0.0082789,0.614521505,2.12033299,0.283160879,0.324514206,0.161558123,0.116182565,1.374533785
51,GJHFR-130A,GJH,FR,0.001306125,0.007939452,0.655312385,2.203112398,0.286679577,0.333300598,0.164841629,0.114699318,1.370259746
52,GJHFR-130A,GJH,FR,0.001314506,0.007819982,0.677648216,2.382337254,0.309424926,0.352315464,0.167660907,0.119400479,1.389563757
53,GJHFR-130A,GJH,FR,0.001331377,0.008217276,0.654752465,2.267634723,0.294741152,0.339273214,0.164176255,0.120353083,1.399836065
54,GJHFR-130A,GJH,FR,0.00130278,0.008131934,0.672897107,2.274893354,0.301123168,0.334763244,0.167035162,0.121783696,1.416679145
55,GJHFR-130A,GJH,FR,0.001302086,0.008064242,0.675345021,2.241133745,0.293520737,0.332919946,0.165267918,0.11938949,1.409232542
56,GJHFR-130A,GJH,FR,0.001309002,0.008143891,0.667959614,2.303963246,0.29506532,0.335224459,0.162216137,0.118791732,1.375131236
57,GJHFR-130A,GJH,FR,0.001238308,0.007982428,0.664494352,2.247699218,0.295251775,0.339735849,0.1645569,0.117966136,1.38535818
58,GJHFR-130A,GJH,FR,0.001247642,0.008241854,0.653714419,2.224124038,0.294376549,0.323746575,0.159197903,0.117302525,1.343069688
59,GJHFR-130A,GJH,FR,0.001261968,0.00755556,0.67252827,2.292056945,0.29347194,0.33400473,0.163301723,0.115231745,1.323613013
60,GJHFR-130A,GJH,FR,0.00123645,0.00810832,0.659531411,2.255121129,0.290932433,0.336888527,0.161743634,0.116246092,1.38009599
61,GJHFR-130A,GJH,FR,0.001318052,0.007890859,0.667460759,2.309424987,0.299952383,0.34090477,0.167753051,0.11797019,1.414725282
62,GJHFR-130A,GJH,FR,0.001267104,0.007840246,0.649772568,2.281622683,0.295208471,0.336446106,0.160094785,0.115988342,1.333192616
63,GJHFR-130A,GJH,FR,0.001382677,0.008807992,0.663935912,2.259432698,0.29503796,0.334076951,0.161879151,0.114297537,1.349852872
64,GJHFR-130A,GJH,FR,0.00137217,0.008185942,0.676926471,2.343507338,0.303602976,0.347381943,0.164024842,0.117215416,1.322034332
65,GJHFR-130A,GJH,FR,0.001341376,0.008426654,0.667370785,2.320641401,0.304499034,0.352756466,0.16249377,0.11624437,1.381787445
66,GJHFR-130A,GJH,FR,0.001357245,0.008286853,0.654265138,2.340773216,0.307160234,0.346516524,0.16314945,0.117261205,1.340579159
67,GJHFR-130A,GJH,FR,0.001327777,0.00866911,0.645045249,2.361549985,0.304523687,0.352467025,0.16441154,0.117269682,1.360806725
68,GJHFR-134A,GJH,FR,0.002154367,0.013532145,0.686705679,2.31949381,0.296887737,0.345119571,0.152620416,0.10642035,1.255558062
69,GJHFR-134A,GJH,FR,0.002052875,0.012709241,0.684568453,2.334204452,0.296262892,0.347717852,0.144429481,0.107415893,1.251670936
70,GJHFR-134A,GJH,FR,0.001811694,0.011700999,0.655012428,2.251688491,0.292609708,0.333680113,0.149083508,0.106324306,1.253776882
71,GJHFR-134A,GJH,FR,0.001753026,0.011026809,0.668971351,2.286697367,0.295861963,0.331786843,0.148613161,0.107903928,1.259163297
72,GJHFR-134A,GJH,FR,0.001732243,0.010860978,0.665509808,2.277859177,0.296133809,0.341733638,0.1511498,0.109918631,1.241664635
73,GJHFR-134A,GJH,FR,0.001616392,0.010252161,0.63918277,2.250170511,0.290620907,0.329893177,0.147029393,0.104321115,1.223947092
74,GJHFR-134A,GJH,FR,0.001682883,0.0105733,0.675619317,2.390023757,0.304521479,0.351619079,0.151890977,0.109864803,1.305295396
75,GJHFR-134A,GJH,FR,0.00158011,0.010014917,0.665787505,2.31711819,0.29677215,0.339376279,0.145025919,0.107690474,1.285129655
76,GJHFR-134A,GJH,FR,0.001597078,0.010004553,0.675285922,2.310706863,0.302994711,0.344699541,0.15501977,0.112045272,1.308955998
77,GJHFR-134A,GJH,FR,0.001479605,0.009772713,0.660270507,2.224270204,0.292117691,0.331149116,0.153250597,0.110138554,1.258750292
78,GJHFR-134A,GJH,FR,0.001576035,0.009980218,0.666720145,2.268697334,0.297707716,0.347055551,0.150182136,0.1111829,1.292170131
79,GJHFR-134A,GJH,FR,0.001515453,0.00976041,0.642854378,2.268834154,0.293432971,0.331978649,0.15037762,0.105863091,1.257947733
80,GJHFR-134A,GJH,FR,0.001393251,0.00927147,0.649842789,2.214334667,0.286407121,0.328500721,0.146143464,0.103295209,1.234945291
81,GJHFR-134A,GJH,FR,0.001467604,0.00931006,0.647733981,2.194503764,0.285686431,0.321631286,0.146811086,0.104025379,1.224409854
82,GJHFR-134A,GJH,FR,0.001547789,0.009508631,0.658453169,2.170777969,0.281797438,0.328660689,0.142656571,0.101312421,1.251233911
83,GJHFR-134A,GJH,FR,0.001628959,0.01037457,0.647863639,2.215183806,0.28547078,0.330442509,0.151253177,0.108693973,1.243936095
84,GJHFR-134A,GJH,FR,0.001826373,0.011547985,0.676260798,2.305717734,0.300287862,0.346402691,0.157046405,0.10763597,1.276823348
85,GJHFR-134A,GJH,FR,0.001988604,0.012444105,0.663202653,2.306313317,0.299763118,0.338414004,0.153037833,0.114986986,1.346847276
86,GJHFR-134A,GJH,FR,0.001971341,0.012787091,0.668008299,2.236357799,0.287769959,0.326045887,0.148808047,0.107515669,1.278028074
87,GJHFR-134A,GJH,FR,0.00207156,0.0132586,0.689642236,2.232741487,0.291525951,0.335914178,0.154177522,0.110821147,1.268896755
88,GJHFR-134A,GJH,FR,0.001980225,0.012662372,0.658546604,2.176980678,0.277915106,0.31685891,0.146624981,0.107112899,1.23764371
89,GJHFR-134A,GJH,FR,0.001928814,0.012453836,0.663096018,2.088008227,0.280754176,0.313021755,0.152088893,0.107429911,1.253867639
90,GJHFR-134A,GJH,FR,0.001786959,0.011673008,0.662451179,2.118126505,0.272650205,0.313213264,0.146855063,0.103375273,1.278609746
91,GJHFR-134A,GJH,FR,0.001743241,0.01115989,0.672704569,2.197103601,0.284094747,0.320617353,0.151564731,0.110050263,1.298315623
92,GJHFR-134A,GJH,FR,0.001601095,0.009822512,0.660898604,2.072918484,0.27719041,0.31773357,0.150214699,0.106704785,1.236926771
93,GJHFR-134A,GJH,FR,0.001585582,0.010249469,0.664078705,2.2172805,0.281497981,0.320403841,0.15459991,0.110263909,1.298105396
94,GJHFR-134A,GJH,FR,0.001593795,0.009980924,0.675279773,2.292400025,0.291609327,0.340900062,0.16071523,0.113096033,1.306443258
95,GJHFR-134A,GJH,FR,0.001496626,0.009279773,0.670664421,2.397832973,0.311159627,0.345965872,0.149874173,0.10451624,1.177851497
96,GJHFR-134A,GJH,FR,0.001845847,0.012065189,0.674219161,2.43734147,0.311334546,0.353757041,0.155872543,0.11110223,1.324508453
97,GJHFR-134A,GJH,FR,0.002038506,0.012603376,0.661997133,2.213024234,0.281858059,0.321292799,0.148693554,0.110403781,1.228613899
98,GJHFR-134A,GJH,FR,0.002002389,0.012904708,0.64465909,2.022417222,0.25888883,0.288300643,0.145714313,0.104756229,1.244006309
99,GJHFR-134A,GJH,FR,0.001782345,0.011802487,0.655074587,1.782942273,0.230724846,0.265923163,0.143060758,0.102164231,1.197756063
100,GJHFR-134A,GJH,FR,0.001872315,0.011967189,0.658802569,1.725015145,0.225938884,0.259998878,0.139496805,0.10211613,1.17790535
101,GJHFR-134A,GJH,FR,0.00179245,0.011344934,0.659807447,1.74271206,0.22813295,0.260844909,0.145558031,0.105399825,1.22969672
102,GJHFR-134A,GJH,FR,0.00175815,0.011200348,0.678305462,2.024002581,0.262777741,0.299631276,0.149814566,0.108479573,1.24697393
103,GJHFR-134A,GJH,FR,0.001522328,0.010158853,0.668052188,2.094644559,0.270848862,0.310725627,0.150507069,0.106959921,1.269307029
104,GJHFR-134A,GJH,FR,0.00144519,0.008983987,0.663603609,2.175292362,0.274611344,0.325091447,0.145477832,0.106421479,1.190251068
105,GJHFR-134A,GJH,FR,0.001474293,0.009416182,0.669134186,2.16063832,0.285855708,0.323634628,0.149175498,0.10731469,1.249771993
106,GJHFR-134A,GJH,FR,0.001475795,0.009059193,0.658415507,2.138581629,0.273779256,0.319396299,0.14752647,0.104825119,1.246355045
107,GJHFR-134A,GJH,FR,0.001574914,0.009953191,0.663624656,2.190577821,0.284750878,0.328382588,0.156691705,0.111640101,1.30134097
108,GJHFR-134A,GJH,FR,0.001480345,0.009414295,0.677317366,2.243920065,0.292346355,0.330320971,0.152610387,0.108839222,1.27484027
109,GJHFR-134A,GJH,FR,0.001421333,0.009087124,0.671167628,2.283536925,0.296128655,0.337755433,0.151094639,0.10376966,1.22701939
110,GJHFR-134A,GJH,FR,0.001389526,0.009000078,0.663952233,2.201666435,0.289076699,0.327231501,0.146503506,0.102483953,1.236236403
111,GJHFR-134A,GJH,FR,0.00142435,0.008827418,0.650693012,2.261104395,0.285054946,0.330287389,0.145585489,0.106469404,1.183809048
112,GJHFR-134A,GJH,FR,0.00142069,0.009480564,0.650695702,2.236233603,0.288065305,0.335073421,0.142983389,0.104977867,1.236253613
113,GJHFR-134A,GJH,FR,0.001469233,0.009226842,0.666292562,2.194317934,0.2925389,0.327342903,0.149558136,0.10625069,1.282980912
114,GJHFR-134A,GJH,FR,0.001473326,0.009208187,0.680511792,2.27730247,0.301899314,0.331995674,0.14746959,0.10918102,1.242087524
115,GJHFR-134A,GJH,FR,0.001473939,0.009500718,0.654703998,2.316998905,0.300391946,0.344588563,0.150904448,0.107317091,1.241577701
116,GJHFR-134A,GJH,FR,0.001563159,0.009765566,0.669013242,2.358912462,0.309087596,0.347725612,0.152715092,0.107071895,1.266787833
117,GJHFR-134A,GJH,FR,0.001610791,0.010499956,0.655527874,2.375958248,0.310249574,0.351628453,0.150440204,0.108026094,1.273297091
118,GJHFR-134A,GJH,FR,0.001672624,0.010683417,0.657830522,2.401510417,0.317784193,0.357365853,0.149520055,0.105927268,1.229786448
119,GJHFR-134A,GJH,FR,0.001779339,0.010916722,0.659623528,2.427982555,0.316899103,0.358774309,0.151047581,0.103692897,1.230768767
120,GJHFR-134A,GJH,FR,0.001914737,0.012379077,0.668134619,2.503277018,0.324670257,0.362891732,0.148655857,0.104321771,1.235309994
121,GJHFR-136A,GJH,FR,0.001357875,0.008503784,0.662145273,1.746302191,0.227140149,0.267604235,0.147356437,0.104561981,1.281707297
122,GJHFR-136A,GJH,FR,0.001286334,0.008447769,0.670833484,1.932922267,0.239057998,0.27739799,0.142777333,0.100492349,1.169088465
123,GJHFR-136A,GJH,FR,0.001440827,0.009303331,0.664281363,1.915295288,0.241962391,0.283038912,0.148400152,0.10699123,1.257272717
124,GJHFR-136A,GJH,FR,0.001389467,0.009031483,0.643516205,1.918192645,0.257298499,0.290071995,0.144780871,0.102804046,1.22290697
125,GJHFR-136A,GJH,FR,0.00148979,0.009550352,0.658720048,2.050254634,0.262684513,0.308281451,0.152259016,0.103134434,1.259703355
126,GJHFR-136A,GJH,FR,0.001539283,0.00957817,0.657343586,2.085294534,0.270297022,0.309136154,0.150542238,0.105466782,1.251267161
127,GJHFR-136A,GJH,FR,0.001476377,0.00936011,0.643410827,2.157126088,0.270221263,0.311856064,0.151846881,0.108149048,1.300994611
128,GJHFR-136A,GJH,FR,0.001369432,0.008429747,0.6607274,2.139758267,0.285626549,0.324863951,0.151599451,0.106182321,1.271057658
129,GJHFR-136A,GJH,FR,0.001360497,0.008527018,0.651962058,2.206054278,0.292909478,0.321099765,0.153237194,0.110098995,1.269438192
130,GJHFR-136A,GJH,FR,0.001410618,0.008703269,0.662770118,2.278351951,0.287255552,0.335988595,0.156399899,0.112195662,1.317211064
131,GJHFR-136A,GJH,FR,0.001252734,0.008114097,0.685959457,2.261905801,0.288213734,0.334194916,0.154171997,0.106602762,1.244415406
132,GJHFR-136A,GJH,FR,0.001349248,0.008376529,0.686534924,2.230849786,0.288555417,0.334398408,0.150882513,0.111424055,1.283983464
133,GJHFR-136A,GJH,FR,0.001243779,0.008356343,0.656507615,2.17899716,0.272585114,0.317858874,0.155434511,0.110069172,1.321877698
134,GJHFR-136A,GJH,FR,0.001234604,0.007753685,0.646561883,2.170414411,0.276275586,0.316463943,0.143409311,0.100964604,1.217501728
135,GJHFR-136A,GJH,FR,0.001407737,0.008674418,0.662334414,2.271373509,0.29492156,0.333559796,0.15762524,0.118867465,1.356659725
136,GJHFR-136A,GJH,FR,0.001347654,0.008273024,0.680085692,2.293985912,0.294912274,0.332236617,0.151783619,0.11176668,1.265313817
137,GJHFR-136A,GJH,FR,0.001408279,0.008904721,0.659754308,2.078319903,0.26315855,0.300733512,0.14678201,0.106385208,1.210069959
138,GJHFR-136A,GJH,FR,0.001290919,0.008178546,0.64758753,1.898250292,0.240699345,0.279593616,0.140166414,0.101176742,1.157791997
139,GJHFR-136A,GJH,FR,0.001537927,0.009946369,0.646264525,2.051441641,0.253892519,0.299123507,0.156351688,0.106761179,1.307623537
140,GJHFR-136A,GJH,FR,0.00159645,0.010694715,0.677286474,2.190587801,0.281900095,0.321479153,0.160282759,0.111110012,1.331901323
141,GJHFR-136A,GJH,FR,0.001664624,0.009908774,0.65925244,2.13530008,0.275960601,0.317531288,0.149010896,0.110042538,1.266725978
142,GJHFR-136A,GJH,FR,0.001743497,0.010989589,0.679816915,2.198822505,0.284971979,0.329803157,0.155630168,0.109883659,1.268404816
143,GJHFR-136A,GJH,FR,0.001861314,0.011781371,0.679647781,2.151920699,0.288603238,0.327791806,0.157802358,0.110073076,1.256043163
144,GJHFR-136A,GJH,FR,0.002018112,0.012706602,0.670766095,2.240964139,0.285397255,0.337963294,0.1631827,0.112707864,1.317595469
145,GJHFR-136A,GJH,FR,0.002021612,0.012544999,0.670002834,2.230281132,0.295210945,0.339326984,0.161132437,0.114487519,1.27914563
146,GJHFR-136A,GJH,FR,0.001938701,0.011834428,0.670705925,2.338030723,0.304095816,0.344208205,0.157011586,0.113970669,1.309252314
147,GJHFR-136A,GJH,FR,0.001693686,0.010726497,0.687498329,2.380604286,0.314547664,0.36419946,0.159214444,0.111841255,1.351684783
148,GJHFR-136A,GJH,FR,0.001666381,0.010288338,0.66911272,2.346351251,0.309229062,0.362329711,0.156620005,0.112383132,1.335377489
149,GJHFR-136A,GJH,FR,0.001634529,0.010185676,0.669613479,2.393035123,0.315318878,0.367158951,0.163459229,0.112471079,1.355413625
150,GJHFR-136A,GJH,FR,0.001668828,0.009885828,0.676871249,2.564604333,0.338789533,0.372610812,0.15657026,0.112450622,1.304780711
151,GJHFR-136A,GJH,FR,0.001705306,0.010600391,0.655276931,2.52711927,0.332090666,0.373505325,0.164158489,0.11497142,1.347562017
152,GJHFR-136A,GJH,FR,0.001682603,0.010804543,0.648024398,2.472667573,0.323321862,0.37885005,0.161256985,0.115564563,1.355362925
153,GJHFR-143A,GJH,FR,0.001543226,0.009958703,0.659021542,2.527027554,0.319076174,0.373840001,0.149707796,0.109317953,1.28250506
154,GJHFR-143A,GJH,FR,0.001618916,0.010617674,0.655833011,2.618742342,0.328036602,0.377502977,0.158300706,0.11005234,1.283826114
155,GJHFR-143A,GJH,FR,0.001609078,0.010133259,0.66574914,2.423134807,0.317527459,0.365946014,0.15118139,0.110956056,1.247435109
156,GJHFR-143A,GJH,FR,0.001415174,0.009461849,0.648140023,2.302848719,0.299114776,0.340964051,0.145319027,0.100167369,1.218685184
157,GJHFR-143A,GJH,FR,0.001446721,0.008842726,0.666050068,2.349873401,0.306679527,0.34541098,0.142688165,0.103817345,1.2341479
158,GJHFR-143A,GJH,FR,0.001428973,0.008520172,0.664278909,2.431244335,0.307767015,0.350478771,0.145279881,0.10692629,1.246539288
159,GJHFR-143A,GJH,FR,0.001315038,0.008188162,0.656665151,2.415503614,0.30187605,0.349784874,0.145687731,0.102806733,1.236334435
160,GJHFR-143A,GJH,FR,0.001257733,0.008158626,0.673046019,2.434599782,0.317164076,0.363655346,0.147638851,0.104563957,1.203115195
161,GJHFR-143A,GJH,FR,0.001285632,0.008100623,0.657465572,2.420829287,0.309792124,0.355625949,0.146466519,0.105643943,1.202969379
162,GJHFR-143A,GJH,FR,0.001214461,0.008184837,0.664388745,2.359900574,0.309804007,0.350497639,0.144989915,0.101739007,1.210422797
163,GJHFR-143A,GJH,FR,0.001290247,0.008046834,0.67525538,2.413470671,0.312594833,0.368021054,0.150357734,0.10467578,1.225160224
